second,visual_emotion,vis_confidence
0,error,0.0
1,error,0.0
2,error,0.0
3,error,0.0
4,error,0.0
5,error,0.0
6,error,0.0
7,error,0.0
8,error,0.0
9,error,0.0
10,error,0.0
11,error,0.0
12,error,0.0
13,error,0.0
14,error,0.0
15,error,0.0
16,error,0.0
17,error,0.0
18,error,0.0
19,error,0.0
20,error,0.0
21,error,0.0
22,error,0.0
23,error,0.0
24,error,0.0
25,error,0.0
26,error,0.0
27,error,0.0
28,error,0.0
29,error,0.0
30,error,0.0
31,error,0.0
32,error,0.0
33,error,0.0
34,error,0.0
35,error,0.0
36,error,0.0
37,error,0.0
38,error,0.0
39,error,0.0
40,error,0.0
41,error,0.0
42,error,0.0
43,error,0.0
44,error,0.0
45,error,0.0
46,error,0.0
47,error,0.0
48,error,0.0
49,error,0.0
50,error,0.0
51,error,0.0
52,error,0.0
53,error,0.0
54,error,0.0
55,error,0.0
56,error,0.0
57,error,0.0
58,error,0.0
59,error,0.0
60,error,0.0
61,error,0.0
62,error,0.0
63,error,0.0
64,error,0.0
65,error,0.0
66,error,0.0
67,error,0.0
68,error,0.0
69,error,0.0
70,error,0.0
71,error,0.0
72,error,0.0
73,error,0.0
74,error,0.0
75,error,0.0
76,error,0.0
77,error,0.0
78,error,0.0
79,error,0.0
80,error,0.0
81,error,0.0
82,error,0.0
83,error,0.0
84,error,0.0
85,error,0.0
86,error,0.0
87,error,0.0
88,error,0.0
89,error,0.0
90,error,0.0
91,error,0.0
92,error,0.0
93,error,0.0
94,error,0.0
95,error,0.0
96,error,0.0
97,error,0.0
98,error,0.0
99,error,0.0
100,error,0.0
101,error,0.0
102,error,0.0
103,error,0.0
104,error,0.0
105,error,0.0
106,error,0.0
107,error,0.0
108,error,0.0
109,error,0.0
110,error,0.0
111,error,0.0
112,error,0.0
113,error,0.0
114,error,0.0
115,error,0.0
116,error,0.0
117,error,0.0
118,error,0.0
119,error,0.0
120,error,0.0
121,error,0.0
122,error,0.0
123,error,0.0
124,error,0.0
125,error,0.0
126,error,0.0
127,error,0.0
128,error,0.0
129,error,0.0
130,error,0.0
131,error,0.0
132,error,0.0
133,error,0.0
134,error,0.0
135,error,0.0
136,error,0.0
137,error,0.0
138,error,0.0
139,error,0.0
140,error,0.0
141,error,0.0
142,error,0.0
143,error,0.0
144,error,0.0
145,error,0.0
146,error,0.0
147,error,0.0
148,error,0.0
149,error,0.0
