second,text_emotion,basic_emotion,visual_emotion,vis_confidence
0,未知,none,error,0.0
1,未知,none,error,0.0
2,未知,none,error,0.0
3,未知,none,error,0.0
4,未知,none,error,0.0
5,未知,none,error,0.0
6,未知,none,error,0.0
7,未知,none,error,0.0
8,未知,none,error,0.0
9,未知,none,error,0.0
10,未知,none,error,0.0
11,未知,none,error,0.0
12,未知,none,error,0.0
13,未知,none,error,0.0
14,未知,none,error,0.0
15,未知,none,error,0.0
16,未知,none,error,0.0
17,未知,none,error,0.0
18,未知,none,error,0.0
19,未知,none,error,0.0
20,未知,none,error,0.0
21,未知,none,error,0.0
22,未知,none,error,0.0
23,未知,none,error,0.0
24,未知,none,error,0.0
25,未知,none,error,0.0
26,未知,none,error,0.0
27,未知,none,error,0.0
28,未知,none,error,0.0
29,未知,none,error,0.0
30,未知,none,error,0.0
31,未知,none,error,0.0
32,未知,none,error,0.0
33,未知,none,error,0.0
34,未知,none,error,0.0
35,未知,none,error,0.0
36,未知,none,error,0.0
37,未知,none,error,0.0
38,未知,none,error,0.0
39,未知,none,error,0.0
40,未知,none,error,0.0
41,未知,none,error,0.0
42,未知,none,error,0.0
43,未知,none,error,0.0
44,未知,none,error,0.0
45,未知,none,error,0.0
46,未知,none,error,0.0
47,未知,none,error,0.0
48,未知,none,error,0.0
49,未知,none,error,0.0
50,未知,none,error,0.0
51,未知,none,error,0.0
52,未知,none,error,0.0
53,未知,none,error,0.0
54,未知,none,error,0.0
55,未知,none,error,0.0
56,未知,none,error,0.0
57,未知,none,error,0.0
58,未知,none,error,0.0
59,未知,none,error,0.0
60,未知,none,error,0.0
61,未知,none,error,0.0
62,未知,none,error,0.0
63,未知,none,error,0.0
64,未知,none,error,0.0
65,未知,none,error,0.0
66,未知,none,error,0.0
67,未知,none,error,0.0
68,未知,none,error,0.0
69,未知,none,error,0.0
70,未知,none,error,0.0
71,未知,none,error,0.0
72,未知,none,error,0.0
73,未知,none,error,0.0
74,未知,none,error,0.0
75,未知,none,error,0.0
76,未知,none,error,0.0
77,未知,none,error,0.0
78,未知,none,error,0.0
79,未知,none,error,0.0
80,未知,none,error,0.0
81,未知,none,error,0.0
82,未知,none,error,0.0
83,未知,none,error,0.0
84,未知,none,error,0.0
85,未知,none,error,0.0
86,未知,none,error,0.0
87,未知,none,error,0.0
88,未知,none,error,0.0
89,未知,none,error,0.0
90,未知,none,error,0.0
91,未知,none,error,0.0
92,未知,none,error,0.0
93,未知,none,error,0.0
94,未知,none,error,0.0
95,未知,none,error,0.0
96,未知,none,error,0.0
97,未知,none,error,0.0
98,未知,none,error,0.0
99,未知,none,error,0.0
100,未知,none,error,0.0
101,未知,none,error,0.0
102,未知,none,error,0.0
103,未知,none,error,0.0
104,未知,none,error,0.0
105,未知,none,error,0.0
106,未知,none,error,0.0
107,未知,none,error,0.0
108,未知,none,error,0.0
109,未知,none,error,0.0
110,未知,none,error,0.0
111,未知,none,error,0.0
112,未知,none,error,0.0
113,未知,none,error,0.0
114,未知,none,error,0.0
115,未知,none,error,0.0
116,未知,none,error,0.0
117,未知,none,error,0.0
118,未知,none,error,0.0
119,未知,none,error,0.0
120,未知,none,error,0.0
121,未知,none,error,0.0
122,未知,none,error,0.0
123,未知,none,error,0.0
124,未知,none,error,0.0
125,未知,none,error,0.0
126,未知,none,error,0.0
127,未知,none,error,0.0
128,未知,none,error,0.0
129,未知,none,error,0.0
130,未知,none,error,0.0
131,未知,none,error,0.0
132,未知,none,error,0.0
133,未知,none,error,0.0
134,未知,none,error,0.0
135,未知,none,error,0.0
136,未知,none,error,0.0
137,未知,none,error,0.0
138,未知,none,error,0.0
139,未知,none,error,0.0
140,未知,none,error,0.0
141,未知,none,error,0.0
142,未知,none,error,0.0
143,未知,none,error,0.0
144,未知,none,error,0.0
145,未知,none,error,0.0
146,未知,none,error,0.0
147,未知,none,error,0.0
148,未知,none,error,0.0
149,未知,none,error,0.0
150,未知,none,none,none
